연번,년도,학기,학년,분반,개설학부,교과목코드,교과구분,학점부여,교과목명,학점,담당교원,요일/시간
72,2015,1,3,2,수리정보과학부,MC313,자연계열교과필수,일반,미적분학3,4,권민정,화6|화7|목1|금4
73,2015,1,3,3,수리정보과학부,MC313,자연계열교과필수,일반,미적분학3,4,변종혁,월4|수2|수3|금1
74,2015,1,3,4,수리정보과학부,MC313,자연계열교과필수,일반,미적분학3,4,권민정,화4|수1|목6|목7
75,2015,1,3,5,수리정보과학부,MC313,자연계열교과필수,일반,미적분학3,4,임종렬,월2|월3|수6|목8
76,2015,1,3,6,수리정보과학부,MC313,자연계열교과필수,일반,미적분학3,4,정명주,월4|수2|수3|금1
77,2015,1,3,7,수리정보과학부,MC313,자연계열교과필수,일반,미적분학3,4,김종민,화4|수1|목6|목7
78,2015,1,2,1,화학생물학부,CB6202,융합학점선택,일반,법과학,2,강광일,월8|월9
79,2015,1,2,2,화학생물학부,CB6202,융합학점선택,일반,법과학,2,강광일,목9|목10
80,2015,1,3,1,화학생물학부,CB421,자연계열교과선택,일반,분자생물학,3,KAIST 교수 강의지원,금6|금7|금8
81,2015,1,1,1,화학생물학부,CB1201,자연계열교과필수,일반,생물학및실험1,3,고인정,월2|월3|수6|목8
82,2015,1,1,2,화학생물학부,CB1201,자연계열교과필수,일반,생물학및실험1,3,정미선,화6|화7|목1|금4
83,2015,1,1,3,화학생물학부,CB1201,자연계열교과필수,일반,생물학및실험1,3,정미선,월4|수2|수3|금1
84,2015,1,1,4,화학생물학부,CB1201,자연계열교과필수,일반,생물학및실험1,3,권창섭,화4|수1|목6|목7
85,2015,1,1,5,화학생물학부,CB1201,자연계열교과필수,일반,생물학및실험1,3,이화목,화3|수4|금2|금3
86,2015,1,1,6,화학생물학부,CB1201,자연계열교과필수,일반,생물학및실험1,3,이화목,월6|월7|화1|금6
87,2015,1,1,7,화학생물학부,CB1201,자연계열교과필수,일반,생물학및실험1,3,이화목,월1|수7|수8|목4
88,2015,1,1,8,화학생물학부,CB1201,자연계열교과필수,일반,생물학및실험1,3,정미선,화2|목2|목3|금7
89,2015,1,2,1,화학생물학부,CB1203,자연계열교과필수,일반,생물학및실험Ⅰ,5,고인정,화12|수7|목3|금7|금8
90,2015,1,3,1,화학생물학부,CB521,자연계열교과선택,일반,생물학특강(인간생물학),3,강광일,월10|수4|금3
91,2015,1,2,1,인문예술학부,HA2701,인문계열교과선택,PF,생활미술,2,류기정,월8|월9
92,2015,1,2,2,인문예술학부,HA2701,인문계열교과선택,PF,생활미술,2,류기정,목9|목10
93,2015,1,2,3,인문예술학부,HA2701,인문계열교과선택,PF,생활미술,2,박주영,월8|월9
94,2015,1,2,4,인문예술학부,HA2701,인문계열교과선택,PF,생활미술,2,박주영,화9|화10
95,2015,1,2,5,인문예술학부,HA2701,인문계열교과선택,PF,생활미술,2,박주영,목9|목10
96,2015,1,2,6,인문예술학부,HA2701,인문계열교과선택,PF,생활미술,2,박주영,목12|목13
97,2015,1,2,1,화학생물학부,CB2101,자연계열교과선택,일반,생활속의화학,3,Naresh Tarte,화6|화7|금4
98,2015,1,2,1,인문예술학부,HA2601,인문계열교과선택,PF,생활음악,2,양리라,월8|월9
